,target_area,target_sign,target_finding_time,target_finding_result,sub_id,trial_id,condition,seconds_after_trigger
389,1,1,17.55753,False,3,3,Sound,11.146516
390,0,1,24.83399,True,3,3,Sound,33.704046
391,0,1,4.128361,True,4,0,Sound,5.0
392,1,1,6.696861,True,4,0,Sound,14.128361
393,1,1,3.938564,False,4,3,Both,5.0
394,0,1,0.5500102,True,4,3,Both,13.938564
395,0,1,9.477048,True,4,3,Both,19.488574200000002
396,1,0,12.03172,True,4,3,Both,33.9656222
397,1,0,3.289247,True,4,3,Both,50.9973422
398,1,0,7.493126,True,1,1,Visual,5.0
399,0,0,1.690803,True,1,1,Visual,17.493126
401,0,0,1.99651,True,1,1,Visual,29.183929
402,1,1,2.620983,False,1,1,Visual,36.180439
403,1,0,1.310554,True,1,1,Visual,43.801422
404,0,0,4.677592,True,1,1,Visual,50.111976
405,1,1,7.871698,True,1,0,Visual,5.0
406,1,0,2.295978,True,1,0,Visual,17.871698000000002
407,1,1,2.123565,True,1,0,Visual,25.167676
408,1,0,1.712849,True,1,0,Visual,32.291241
409,0,0,5.011834,True,1,0,Visual,39.00409
410,0,0,1.41278,True,1,0,Visual,49.015924
412,0,1,0.2842815,True,4,2,Both,5.0
413,1,1,3.215992,True,4,2,Both,10.2842815
414,0,1,3.174573,True,4,2,Both,18.5002735
415,1,1,6.290035,True,4,2,Both,26.6748465
416,1,0,10.99579,True,4,2,Both,37.964881500000004
417,0,0,5.930645,True,1,2,Visual,5.0
419,1,1,1.333333,True,1,2,Visual,20.930645
420,0,1,1.321507,False,1,2,Visual,27.263978
421,1,1,1.955848,True,1,2,Visual,33.585485
422,1,0,1.828296,True,1,2,Visual,40.541333
423,1,0,3.840619,True,1,2,Visual,47.369629
424,1,0,2.992451,True,1,2,Visual,56.210248
425,1,1,11.07868,True,1,3,Visual,5.0
426,1,0,1.569457,True,1,3,Visual,21.07868
427,1,0,1.514115,True,1,3,Visual,27.648137
428,0,0,2.001385,True,1,3,Visual,34.162252
429,1,1,1.491008,True,1,3,Visual,41.163637
430,0,1,2.098668,True,1,3,Visual,47.654645
431,1,1,1.373047,False,3,1,Both,5.0
432,1,1,0.8855578,True,3,1,Both,11.373047
433,0,1,5.191461,True,3,1,Both,17.2586048
435,0,0,1.157001,False,3,1,Both,32.4500658
436,1,1,7.144625,True,3,1,Both,38.6070668
438,0,1,1.204574,False,3,1,Both,55.7516918
439,0,0,1.4237,False,3,1,Both,61.9562658
440,1,0,2.985179,True,6,3,Visual,5.0
441,1,1,3.382236,True,6,3,Visual,12.985179
442,0,0,3.328921,True,6,3,Visual,21.367415
443,1,1,2.157644,True,6,3,Visual,29.696336
444,0,0,1.87747,True,6,3,Visual,36.85398
445,0,0,2.72413,True,6,3,Visual,43.731449999999995
446,1,0,3.177385,True,6,2,Visual,5.0
447,1,1,3.432854,True,6,2,Visual,13.177385000000001
448,0,0,2.992428,True,6,2,Visual,21.610239
450,1,1,6.48688,True,6,2,Visual,34.602667
451,1,0,2.744392,True,6,2,Visual,46.089546999999996
452,0,0,2.145871,True,6,2,Visual,53.833939
453,1,0,2.214919,True,3,0,Both,5.0
454,0,0,0.8488463,True,3,0,Both,12.214919
455,1,1,1.60948,True,3,0,Both,18.0637653
456,0,1,1.186264,True,3,0,Both,24.673245299999998
457,0,1,1.34387,False,3,0,Both,30.8595093
458,0,1,0.6493881,True,3,0,Both,37.2033793
459,1,1,2.558427,True,3,0,Both,42.8527674
460,0,0,3.273914,True,3,0,Both,50.4111944
461,0,1,1.374694,False,3,2,Both,5.0
462,1,0,0.7124684,False,3,2,Both,11.374694
463,1,1,2.27647,False,3,2,Both,17.0871624
465,0,0,0.9073483,False,3,2,Both,29.3636324
466,0,1,0.4642988,False,3,2,Both,35.2709807
467,0,0,1.547388,True,3,2,Both,40.7352795
468,1,1,1.551439,False,3,2,Both,47.2826675
469,1,1,1.648338,False,3,2,Both,53.8341065
470,0,1,1.204508,True,3,2,Both,60.4824445
471,0,0,2.786211,True,6,0,Visual,5.0
472,1,1,2.896317,True,6,0,Visual,12.786211
473,1,1,10.62767,True,6,0,Visual,20.682527999999998
474,0,1,1.406263,True,6,0,Visual,36.310198
475,1,0,1.588439,True,6,0,Visual,42.716460999999995
476,1,0,2.965846,True,6,0,Visual,49.3049
477,1,0,1.705146,True,6,1,Visual,5.0
478,0,1,2.495469,True,6,1,Visual,11.705146
479,0,0,2.053649,True,6,1,Visual,19.200615
480,1,1,2.738314,True,6,1,Visual,26.254264
481,1,0,2.763503,True,6,1,Visual,33.992578
482,0,0,2.627497,True,6,1,Visual,41.756081
483,0,0,4.632852,True,6,1,Visual,49.383578
485,1,1,1.589781,True,3,3,Both,5.0
486,1,1,1.646162,True,3,3,Both,11.589781
488,1,0,2.048754,True,3,3,Both,23.235943
490,0,1,1.213605,False,3,3,Both,35.284697
492,1,0,1.690796,True,3,3,Both,46.498302
494,0,0,0.66727,True,3,3,Both,58.189098
